Epoch,Train Recall,Train Precision,Train Accuracy,Validation Recall,Validation Precision,Validation Accuracy
1,0.5441846,0.66874367,0.6373137,0.034146342,0.53435117,0.5021951
2,0.53652734,0.6804462,0.64228064,0.030731708,0.5943396,0.50487804
3,0.51179636,0.67855674,0.6346751,0.056585364,0.56585366,0.50658536
4,0.546875,0.66578484,0.6361755,0.0702439,0.58299595,0.51
5,0.5804015,0.639348,0.6265004,0.0024390244,1.0,0.5012195
6,0.5170737,0.63990265,0.61304843,0.011219512,0.575,0.5014634
7,0.50682944,0.66557956,0.62608653,0.007804878,0.8,0.5029268
8,0.55370444,0.6489207,0.62706953,0.0058536585,0.85714287,0.502439
9,0.64083195,0.60608727,0.61216885,0.020487804,0.65625,0.50487804
10,0.91370034,0.5164951,0.52918047,0.07804878,0.569395,0.5095122
11,0.9937914,0.49859828,0.49720612,1.0,0.5,0.5
12,1.0,0.5,0.5,1.0,0.5,0.5
13,0.8611341,0.53084135,0.55003107,0.026341463,0.6835443,0.50707316
14,0.66038907,0.60213226,0.61201364,0.031219512,0.74418604,0.5102439
15,0.75879556,0.56774545,0.5905422,0.06292683,0.71270716,0.51878047
16,0.77597266,0.5608406,0.5841784,0.048780486,0.66225165,0.5119512
17,0.56591475,0.6687454,0.642798,0.057073172,0.6685714,0.51439023
18,0.55504966,0.69221836,0.65412873,0.044390243,0.60264903,0.50756097
19,0.60420114,0.67958564,0.65966475,0.11317073,0.60732985,0.52
20,0.6224131,0.687979,0.67006415,0.26487803,0.67286247,0.5680488
21,0.6585265,0.67991453,0.67425495,0.40585366,0.67096776,0.60341465
22,0.68946606,0.69493115,0.6933982,0.45463416,0.6544944,0.6073171
23,0.7194743,0.6950915,0.701935,0.3985366,0.6594027,0.5963415
24,0.74265313,0.7016326,0.7134209,0.39609757,0.6777963,0.60390246
25,0.74762005,0.69231504,0.70767796,0.47268292,0.640873,0.60390246
26,0.7750414,0.69986916,0.7213369,0.41365853,0.68608415,0.61219513
27,0.77483445,0.7090238,0.7284251,0.5492683,0.68700427,0.6495122
28,0.78549254,0.7091079,0.7316329,0.57804877,0.655058,0.63682926
29,0.80836093,0.70607376,0.73592716,0.44634145,0.6931818,0.62439024
30,0.8053601,0.7177903,0.7443605,0.48292682,0.66487575,0.6197561
31,0.819019,0.72033125,0.75051737,0.55219513,0.6811071,0.64682925
32,0.8205712,0.7178419,0.74901694,0.6390244,0.65829146,0.6536585
33,0.82791805,0.72558266,0.7573986,0.5565854,0.69151515,0.6541463
34,0.8325745,0.7249955,0.7583816,0.5585366,0.6876877,0.652439
35,0.83454055,0.7305254,0.7633485,0.57804877,0.6790831,0.652439
36,0.8438535,0.7323754,0.76774627,0.52585363,0.67165107,0.63439023
37,0.8441639,0.73146236,0.7671254,0.52585363,0.6741713,0.63585365
38,0.8513038,0.7390406,0.7753518,0.5609756,0.66320646,0.63804877
39,0.8575124,0.7374088,0.77607614,0.47609755,0.6703297,0.6209756
40,0.85151076,0.7380269,0.7746275,0.48341462,0.6705007,0.62292683
41,0.86351407,0.74429184,0.783423,0.5004878,0.6821808,0.6336585
42,0.85885763,0.7483545,0.7850269,0.55317074,0.67299706,0.6421951
43,0.8585472,0.74916476,0.7855443,0.5512195,0.67301965,0.6417073
44,0.8763452,0.7556884,0.79651284,0.6078049,0.67791075,0.6595122
45,0.86320364,0.7542496,0.7909768,0.4887805,0.6802444,0.6295122
46,0.8735513,0.7604035,0.7991515,0.51512194,0.6616541,0.62585366
47,0.8754139,0.75549203,0.7960472,0.5395122,0.669897,0.63682926
48,0.875,0.7603633,0.7996171,0.5092683,0.6683739,0.6282927
49,0.8821399,0.7644369,0.80515313,0.49121952,0.68784153,0.63414633
50,0.87841475,0.7700472,0.8080505,0.56731707,0.6742029,0.64658535
51,0.87779385,0.7679703,0.8062914,0.5678049,0.6701209,0.6441463
52,0.88276076,0.77491146,0.8131726,0.43219513,0.6671687,0.6082927
53,0.8870033,0.7749051,0.814673,0.5356098,0.67735964,0.6402439
54,0.8907285,0.78013414,0.81984687,0.51756096,0.6422518,0.61463416
55,0.88721025,0.7825849,0.82036424,0.5253658,0.6807838,0.6395122
56,0.89000416,0.7800653,0.81953645,0.5614634,0.6607348,0.63658535
57,0.8955919,0.7854615,0.82548636,0.53268296,0.67657995,0.6390244
58,0.89476407,0.7873077,0.8265211,0.52829266,0.6681061,0.6329268
59,0.89797187,0.78833574,0.8284354,0.4390244,0.65217394,0.60243905
60,0.90055877,0.79039145,0.8308671,0.4712195,0.68462086,0.62707317
61,0.9003518,0.7948296,0.83397144,0.47268292,0.6646091,0.6170732
62,0.901904,0.7946754,0.8344371,0.46146342,0.6647927,0.61439025
63,0.9055257,0.7963418,0.8369723,0.5380488,0.66166764,0.6314634
64,0.90169704,0.7995229,0.8378001,0.4214634,0.66308516,0.60365856
65,0.90790564,0.80347985,0.8429222,0.5078049,0.6660269,0.62658536
66,0.9072848,0.80351907,0.8427152,0.50390244,0.66217947,0.62341464
67,0.9110099,0.8074101,0.8468543,0.49804878,0.6608414,0.6212195
68,0.910596,0.8074876,0.84675086,0.48487806,0.6707153,0.62341464
69,0.90831953,0.8126273,0.84944123,0.5312195,0.6755583,0.63804877
70,0.9157699,0.8183079,0.85621893,0.49658537,0.677763,0.6302439
71,0.9116308,0.81930625,0.8552877,0.45414636,0.66690546,0.61365855
72,0.91504556,0.8202393,0.85725373,0.47853658,0.67983365,0.62658536
73,0.91514903,0.82369375,0.8596337,0.48292682,0.6573705,0.61560977
74,0.91908115,0.8256949,0.86253107,0.48585367,0.6716116,0.62414634
75,0.9195985,0.8261597,0.86304843,0.46536586,0.6708861,0.6185366
76,0.914942,0.8284456,0.862738,0.46634147,0.68727535,0.62707317
77,0.9236341,0.8301711,0.8673427,0.4,0.678808,0.6053659
78,0.92063326,0.83367693,0.868481,0.44634145,0.673785,0.61512196
79,0.92601407,0.83674616,0.8726718,0.3985366,0.6791355,0.60512197
80,0.9217715,0.83423865,0.86930877,0.43512195,0.66517526,0.6080488
